Time;Mode;State;ErrorId;Cmd;
08:49:08.03;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:08.55;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:08.66;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:09.20;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:10.55;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:11.40;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:12.07;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:59.18;Init;Idle;0;CHANGE_MODE; WD: Mode=Init;
08:49:59.19;Init;Idle;0;EXECUTE_ACTION; WD: Action=InitDevices ObjIds= DeviceIds=;
08:50:27.69;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
08:51:35.71;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:35.72;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:39.27;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:42.54;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:43.54;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:45.95;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:47.53;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:48.08;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:51.38;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:51:51.39;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:51:51.40;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:51:51.41;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:51:52.45;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:51:52.46;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:51:52.47;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:51:52.48;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:02.11;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:02.12;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:02.13;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:02.14;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:02.36;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:02.37;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:02.38;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:02.39;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:02.51;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:02.52;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:02.53;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:02.54;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:13.18;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:13.19;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:13.20;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:13.21;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:13.68;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:13.69;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:13.70;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:13.71;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:13.91;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:13.93;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:13.94;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:13.95;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:14.16;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:14.17;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:14.18;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:14.19;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:14.65;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:14.66;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:14.67;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:14.68;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:14.76;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:14.77;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:14.78;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:14.79;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:14.98;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:14.99;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:15.00;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:15.01;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:15.49;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:15.50;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:15.51;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:15.52;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:18.93;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:18.96;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:18.98;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
08:52:18.98;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:52:19.05;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=11;
08:52:19.06;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=12;
08:52:19.07;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=13;
