Time;Mode;State;ErrorId;Cmd;
11:25:22.72;Manu;Idle;0;ExecuteAction; WD: Action=MoveToTarget Para[0]=42 Para[1]=31 Para[2]=1 Para[3]=0 Para[4]=0 Para[5]=0 Para[6]=115000 Para[7]=115000 Para[8]=72000 Para[9]=0 Para[10]=0 Para[11]=5000 Para[12]=0; RD: ActionId=62;
11:26:53.84;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=18 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=63;
11:28:02.98;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
11:28:21.04;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=57236;
11:28:22.94;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
11:28:22.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
11:28:22.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
11:28:22.97;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
11:28:22.98;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
11:28:22.99;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
11:28:23.00;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
11:28:23.01;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
11:28:23.02;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
11:28:23.03;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
11:28:23.04;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
11:28:23.05;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
11:28:23.06;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
11:28:23.07;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
11:28:23.08;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
11:28:23.09;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
11:28:23.10;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
11:28:23.11;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
11:28:23.12;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
11:28:23.13;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
11:28:23.14;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
11:28:23.15;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
11:28:23.16;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
11:28:23.17;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
11:28:23.18;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
11:28:23.19;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
11:28:23.20;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
11:28:23.21;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
11:28:23.22;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
11:28:23.23;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
11:28:23.24;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
11:28:23.25;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
11:28:23.26;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
11:28:23.27;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
11:28:23.28;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
11:28:23.29;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
11:28:23.30;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
11:28:23.31;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=45;
11:28:23.32;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
11:28:23.32;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
11:28:23.34;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
11:28:23.34;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
11:28:23.36;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
11:28:23.36;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
11:28:23.38;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
11:28:23.53;Manu;Idle;0;CHANGE_MODE; WD: Mode=Manu;
