Time;Mode;State;ErrorId;Cmd;
15:15:48.77;Manu;Idle;0;READ_CONFIG_CHECKSUM; RD: CRC=18427;
15:15:48.78;Manu;Idle;0;READ_OBJECT_IDS; RD: ObjIds=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,45,38,39,40,41,42,43,44,;
15:15:48.79;Manu;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=6180;
15:15:48.95;Manu;Idle;0;GET_MODIFIED_OBJECT; RD: ObjId=0;
15:15:49.68;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
15:15:49.69;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
15:15:49.70;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
15:15:49.71;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
15:15:49.72;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
15:15:49.73;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
15:15:49.74;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
15:15:49.75;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
15:15:49.76;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
15:15:49.77;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
15:15:49.78;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
15:15:49.79;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
15:15:49.80;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
15:15:49.81;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
15:15:49.82;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
15:15:49.83;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
15:15:49.84;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
15:15:49.85;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
15:15:49.86;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
15:15:49.87;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
15:15:49.88;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
15:15:49.89;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
15:15:49.90;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
15:15:49.91;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
15:15:49.92;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
15:15:49.93;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
15:15:49.94;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
15:15:49.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
15:15:49.96;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
15:15:49.97;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
15:15:49.98;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
15:15:49.99;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
15:15:50.00;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
15:15:50.01;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
15:15:50.02;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
15:15:50.03;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
15:15:50.04;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
15:15:50.05;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
15:15:50.06;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=45;
15:15:50.07;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
15:15:50.08;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
15:15:50.09;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
15:15:50.10;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
15:15:50.11;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
15:15:50.12;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
15:15:50.13;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
15:15:50.15;Config;Idle;0;READ_CONFIG_CHECKSUM; RD: CRC=18427;
15:15:50.16;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=19539;
15:15:50.17;Config;Idle;0;READ_ACTIVATE_STATE; RD: Configuration is activated;
15:15:50.19;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=4; RD: ObjType=TipCalibrator NotifyId=1 Crc=9429;
15:15:50.21;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=38; RD: ObjType=MZHead NotifyId=2 Crc=15761;
15:15:50.22;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=39; RD: ObjType=SinglePiezoHolder NotifyId=3 Crc=3236;
15:15:50.24;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=40; RD: ObjType=ZSensor NotifyId=4 Crc=3628;
15:15:50.26;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=41; RD: ObjType=CartridgeHolder NotifyId=5 Crc=26311;
15:15:50.28;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=42; RD: ObjType=CartridgeDisp NotifyId=6 Crc=16404;
15:15:50.29;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=44; RD: ObjType=Camera NotifyId=7 Crc=54305;
15:15:50.32;Config;Idle;0;READ_HW_INFO; RD: 0x30101;
15:15:50.33;Config;Idle;0;READ_HW_INFO; RD: 0x40101;
15:15:50.34;Config;Idle;0;READ_HW_INFO; RD: 0x40103;
15:15:50.35;Config;Idle;0;READ_HW_INFO; RD: 0x40105;
15:15:50.36;Config;Idle;0;READ_HW_INFO; RD: 0x40107;
15:15:50.37;Config;Idle;0;READ_HW_INFO; RD: 0x190001;
15:15:50.38;Config;Idle;0;READ_HW_INFO; RD: 0x0000;
15:15:50.39;Manu;Idle;0;CHANGE_MODE; WD: Mode=Manu;
15:16:01.49;Manu;Idle;0;ExecuteAction; WD: Action=MoveToTarget Para[0]=42 Para[1]=45 Para[2]=1 Para[3]=0 Para[4]=0 Para[5]=0 Para[6]=115000 Para[7]=115000 Para[8]=72000 Para[9]=0 Para[10]=0 Para[11]=5000 Para[12]=0; RD: ActionId=44;
15:18:46.92;Manu;Idle;0;ExecuteAction; WD: Action=MoveToTarget Para[0]=42 Para[1]=11 Para[2]=1 Para[3]=0 Para[4]=0 Para[5]=0 Para[6]=115000 Para[7]=115000 Para[8]=72000 Para[9]=0 Para[10]=0 Para[11]=5000 Para[12]=0; RD: ActionId=45;
15:19:17.96;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
15:19:23.72;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=11 PropIndex=2;
15:19:24.21;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=11 PropIndex=2;
15:19:26.73;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=19705;
15:19:28.58;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
15:19:28.59;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
15:19:28.60;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
15:19:28.61;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
15:19:28.62;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
15:19:28.63;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
15:19:28.64;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
15:19:28.65;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
15:19:28.66;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
15:19:28.67;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
15:19:28.68;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
15:19:28.69;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
15:19:28.70;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
15:19:28.71;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
15:19:28.72;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
15:19:28.73;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
15:19:28.74;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
15:19:28.75;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
15:19:28.76;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
15:19:28.77;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
15:19:28.78;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
15:19:28.79;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
15:19:28.80;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
15:19:28.81;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
15:19:28.82;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
15:19:28.83;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
15:19:28.84;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
15:19:28.85;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
15:19:28.86;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
15:19:28.87;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
15:19:28.88;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
15:19:28.89;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
15:19:28.90;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
15:19:28.91;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
15:19:28.92;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
15:19:28.93;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
15:19:28.94;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
15:19:28.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=45;
15:19:28.96;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
15:19:28.97;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
15:19:28.98;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
15:19:28.99;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
15:19:29.00;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
15:19:29.01;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
15:19:29.02;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
15:19:29.03;Manu;Idle;0;CHANGE_MODE; WD: Mode=Manu;
15:19:35.41;Manu;Idle;0;ExecuteAction; WD: Action=MoveToTarget Para[0]=42 Para[1]=11 Para[2]=1 Para[3]=0 Para[4]=0 Para[5]=0 Para[6]=115000 Para[7]=115000 Para[8]=72000 Para[9]=0 Para[10]=0 Para[11]=5000 Para[12]=0; RD: ActionId=46;
15:21:12.32;Manu;Idle;0;ExecuteAction; WD: Action=MoveToTarget Para[0]=42 Para[1]=11 Para[2]=1 Para[3]=0 Para[4]=0 Para[5]=0 Para[6]=115000 Para[7]=115000 Para[8]=72000 Para[9]=0 Para[10]=0 Para[11]=5000 Para[12]=0; RD: ActionId=47;
15:22:41.72;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
15:22:57.14;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=39764;
15:22:58.92;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
15:22:58.93;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
15:22:58.94;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
15:22:58.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
15:22:58.96;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
15:22:58.97;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
15:22:58.98;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
15:22:58.99;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
15:22:59.00;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
15:22:59.01;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
15:22:59.02;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
15:22:59.03;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
15:22:59.04;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
15:22:59.05;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
15:22:59.06;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
15:22:59.08;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
15:22:59.09;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
15:22:59.10;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
15:22:59.11;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
15:22:59.12;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
15:22:59.13;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
15:22:59.14;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
15:22:59.15;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
15:22:59.16;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
15:22:59.17;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
15:22:59.18;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
15:22:59.19;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
15:22:59.20;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
15:22:59.21;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
15:22:59.22;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
15:22:59.23;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
15:22:59.24;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
15:22:59.25;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
15:22:59.27;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
15:22:59.28;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
15:22:59.32;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
15:22:59.35;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
15:22:59.36;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=45;
15:22:59.37;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
15:22:59.38;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
15:22:59.40;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
15:22:59.42;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
15:22:59.45;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
15:22:59.49;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
15:22:59.55;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
15:22:59.62;Manu;Idle;0;CHANGE_MODE; WD: Mode=Manu;
15:23:12.83;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=12 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=48;
15:23:30.33;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=12 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=49;
15:35:42.07;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=12 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=50;
15:37:06.60;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
15:49:13.08;Config;Idle;0;DELETE_OBJECT; WD: ObjId=45;
15:49:19.79;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=16315;
15:49:22.04;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
15:49:22.05;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
15:49:22.06;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
15:49:22.07;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
15:49:22.08;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
15:49:22.09;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
15:49:22.10;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
15:49:22.11;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
15:49:22.12;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
15:49:22.13;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
15:49:22.14;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
15:49:22.15;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
15:49:22.16;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
15:49:22.17;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
15:49:22.18;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
15:49:22.19;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
15:49:22.20;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
15:49:22.21;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
15:49:22.22;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
15:49:22.23;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
15:49:22.24;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
15:49:22.25;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
15:49:22.26;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
15:49:22.27;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
15:49:22.28;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
15:49:22.29;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
15:49:22.30;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
15:49:22.31;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
15:49:22.32;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
15:49:22.33;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
15:49:22.34;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
15:49:22.35;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
15:49:22.36;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
15:49:22.37;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
15:49:22.38;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
15:49:22.39;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
15:49:22.40;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
15:49:22.41;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
15:49:22.42;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
15:49:22.43;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
15:49:22.44;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
15:49:22.45;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
15:49:22.46;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
15:49:22.47;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
15:49:22.50;Manu;Idle;0;CHANGE_MODE; WD: Mode=Manu;
15:49:32.87;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=36 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=51;
15:49:33.82;Manu;Active;0;PAUSE_ACTION; WD: ActionId=51;
15:49:42.39;Manu;Active;0;STOP_ACTION; WD: ActionId=51;
15:53:16.25;Manu;Idle;0;ExecuteAction; WD: Action=RunGCode Para[0]=12 Para[1]=5 Para[2]=0 Para[3]=0 Para[4]=0 Para[5]=9999 Para[6]=5 Para[7]=0 Para[8]=0 Para[9]=0 Para[10]=0 Para[11]=0 Para[12]=0; RD: ActionId=52;
16:09:38.72;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
16:25:03.43;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=14680;
16:25:04.83;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=1;
16:25:04.84;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=2;
16:25:04.85;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=3;
16:25:04.86;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=4;
16:25:04.87;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=5;
16:25:04.88;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=6;
16:25:04.89;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=7;
16:25:04.90;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=8;
16:25:04.91;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=9;
16:25:04.92;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=10;
16:25:04.93;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=11;
16:25:04.94;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=12;
16:25:04.95;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=13;
16:25:04.96;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=14;
16:25:04.97;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=15;
16:25:04.98;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=16;
16:25:04.99;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=17;
16:25:05.00;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=18;
16:25:05.01;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=19;
16:25:05.02;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=20;
16:25:05.03;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=21;
16:25:05.04;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=22;
16:25:05.05;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=23;
16:25:05.06;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=24;
16:25:05.07;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=25;
16:25:05.08;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=26;
16:25:05.09;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=27;
16:25:05.10;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=28;
16:25:05.11;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=29;
16:25:05.12;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=30;
16:25:05.13;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=31;
16:25:05.14;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=32;
16:25:05.15;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=33;
16:25:05.16;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=34;
16:25:05.17;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=35;
16:25:05.18;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=36;
16:25:05.19;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=37;
16:25:05.20;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=38;
16:25:05.21;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=39;
16:25:05.22;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=40;
16:25:05.23;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=41;
16:25:05.24;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=42;
16:25:05.25;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=43;
16:25:05.26;Config;Idle;0;WRITE_ALL_PROPS; WD: ObjId=44;
